vediolink,video_title,duration,max_resolution,resolution_ok,has_violence_blood,has_smoking,overall_pass,notes,error_message
https://www.bilibili.com/video/BV1GJ411x7h7,【官方 MV】Never Gonna Give You Up - Rick Astley,,1920x1080,True,False,False,True,,
https://www.bilibili.com/video/BV1Vx411L7xF,【逐月之月】四哥四嫂细节糖52  Love On Top ❤️ Beauty And The Beast,,1920x1080,True,False,False,True,,
https://www.bilibili.com/video/BV1Us411V7Wc,【纪录片】彩色二战纪录 13集全【国语】,,1920x1080,True,False,False,True,,
https://v.douyin.com/quZhP-x96NQ/,,,1280x720,False,False,False,False,分辨率不达标,
https://v.douyin.com/G638S-3IXzM,,,1280x720,False,False,False,False,分辨率不达标,
